customer_id,name,email,segment,first_order_date,last_order_date,total_orders,lifetime_spend,city,state
C1039,Maria Rodriguez,maria.rodriguez@example.com,one_time,2025-07-27,2025-11-07,1,327.76,Atlanta,GA
C1040,John Jones,john.jones@example.com,one_time,2025-10-31,2026-03-16,1,248.35,Miami,FL
C1041,Noah Anderson,noah.anderson@example.com,one_time,2025-08-16,2026-04-04,1,175.5,Seattle,WA
C1042,Liam Smith,liam.smith@example.com,one_time,2025-08-26,2026-02-04,1,487.03,Phoenix,AZ
C1043,Isabella Williams,isabella.williams@example.com,one_time,2025-06-07,2025-07-12,1,444.69,Austin,TX
C1044,Michael Anderson,michael.anderson@example.com,one_time,2025-07-26,2025-11-13,1,270.91,Boston,MA
C1045,Linda Johnson,linda.johnson@example.com,one_time,2025-08-09,2026-03-21,1,70.4,Miami,FL
C1046,Mason Martinez,mason.martinez@example.com,one_time,2025-07-15,2026-03-16,1,271.1,Atlanta,GA
C1047,Isabella Jones,isabella.jones@example.com,one_time,2025-07-28,2025-08-29,1,504.85,Seattle,WA
C1048,Mason Thomas,mason.thomas@example.com,one_time,2025-08-23,2026-03-05,1,162.82,Atlanta,GA
C1049,David Williams,david.williams@example.com,one_time,2025-11-17,2026-03-30,1,476.47,Boston,MA
C1050,Linda Martinez,linda.martinez@example.com,one_time,2025-09-15,2026-01-08,1,264.5,Portland,OR
C1051,Isabella Hernandez,isabella.hernandez@example.com,one_time,2025-05-24,2026-03-11,1,353.48,Denver,CO
C1052,Mason Rodriguez,mason.rodriguez@example.com,one_time,2025-05-06,2025-06-19,1,539.68,Portland,OR
C1053,Isabella Brown,isabella.brown@example.com,one_time,2025-11-15,2026-03-02,1,449.58,Boston,MA
C1054,Liam Brown,liam.brown@example.com,one_time,2025-08-04,2025-11-08,1,394.84,Boston,MA
C1055,Sarah Thomas,sarah.thomas@example.com,one_time,2025-11-10,2026-01-10,1,296.81,Atlanta,GA
C1056,John Lopez,john.lopez@example.com,one_time,2025-06-30,2026-04-29,1,514.47,Chicago,IL
C1057,Isabella Davis,isabella.davis@example.com,one_time,2025-07-12,2025-10-21,1,442.89,Austin,TX
C1058,Liam Thomas,liam.thomas@example.com,one_time,2025-07-23,2026-01-01,1,370.3,Austin,TX
C1059,Maria Williams,maria.williams@example.com,one_time,2025-06-07,2026-02-09,1,505.64,Boston,MA
C1060,Ava Williams,ava.williams@example.com,one_time,2025-08-17,2025-10-19,1,311.94,Atlanta,GA
C1061,Mason Wilson,mason.wilson@example.com,one_time,2025-10-21,2026-04-03,1,271.51,Chicago,IL
C1062,Ava Moore,ava.moore@example.com,one_time,2025-09-27,2026-03-03,1,400.05,Seattle,WA
C1063,Ethan Thomas,ethan.thomas@example.com,one_time,2025-06-11,2025-09-22,1,328.18,Denver,CO
C1064,Robert Miller,robert.miller@example.com,one_time,2025-10-28,2026-04-07,1,524.8,Phoenix,AZ
C1065,Mason Lopez,mason.lopez@example.com,one_time,2025-08-30,2025-10-07,1,460.57,Austin,TX
C1066,Liam Martinez,liam.martinez@example.com,one_time,2025-10-02,2026-02-13,1,110.68,Boston,MA
C1067,David Lopez,david.lopez@example.com,one_time,2025-09-11,2025-11-19,1,114.76,Chicago,IL
C1068,Linda Jones,linda.jones@example.com,one_time,2025-07-15,2026-04-19,1,65.39,Seattle,WA
C1069,Patricia Garcia,patricia.garcia@example.com,one_time,2025-05-13,2025-11-15,1,538.98,Phoenix,AZ
C1070,Maria Johnson,maria.johnson@example.com,one_time,2025-05-01,2025-08-01,1,351.15,Seattle,WA
C1071,Ava Hernandez,ava.hernandez@example.com,one_time,2025-09-01,2026-02-24,1,220.34,Seattle,WA
C1072,Linda Jones,linda.jones@example.com,one_time,2025-08-30,2026-04-30,1,446.02,Miami,FL
C1073,Ava Jones,ava.jones@example.com,one_time,2025-10-10,2026-03-06,1,468.92,Atlanta,GA
C1074,Olivia Hernandez,olivia.hernandez@example.com,one_time,2025-05-23,2026-01-17,1,262.98,Miami,FL
C1075,Maria Garcia,maria.garcia@example.com,one_time,2025-05-12,2026-01-23,1,454.75,Boston,MA
C1076,David Brown,david.brown@example.com,one_time,2025-09-24,2026-04-03,1,487.89,Miami,FL
C1077,Mason Johnson,mason.johnson@example.com,one_time,2025-05-22,2025-09-27,1,575.34,Miami,FL
C1078,Sarah Brown,sarah.brown@example.com,one_time,2025-06-18,2026-03-18,1,326.45,Miami,FL
C1079,Patricia Davis,patricia.davis@example.com,one_time,2025-06-16,2025-07-25,1,201.23,Phoenix,AZ
C1080,Olivia Johnson,olivia.johnson@example.com,one_time,2025-05-22,2026-03-21,1,383.77,Phoenix,AZ
C1081,Noah Smith,noah.smith@example.com,one_time,2025-05-06,2025-11-26,1,290.36,Miami,FL
C1082,Robert Brown,robert.brown@example.com,one_time,2025-07-21,2025-11-25,1,191.45,Miami,FL
C1083,Jennifer Williams,jennifer.williams@example.com,one_time,2025-06-13,2025-12-06,1,129.22,Denver,CO
C1084,James Hernandez,james.hernandez@example.com,one_time,2025-07-18,2026-03-13,1,423.23,Denver,CO
C2000,Robert Hernandez,robert.hernandez@example.com,occasional,2025-10-30,2025-12-13,3,5261.03,Denver,CO
C2001,Robert Johnson,robert.johnson@example.com,occasional,2025-07-22,2025-10-26,6,12009.85,Portland,OR
C2002,Isabella Wilson,isabella.wilson@example.com,occasional,2025-11-09,2026-02-07,4,9510.14,Austin,TX
C2003,Noah Williams,noah.williams@example.com,occasional,2025-05-16,2025-11-24,5,11437.18,Phoenix,AZ
C2004,Sarah Rodriguez,sarah.rodriguez@example.com,occasional,2025-08-13,2026-02-21,3,4643.91,Miami,FL
C2005,Mason Jones,mason.jones@example.com,occasional,2025-10-20,2025-12-14,7,11117.48,Chicago,IL
C2006,Isabella Miller,isabella.miller@example.com,occasional,2025-08-13,2026-01-04,7,7479.55,Denver,CO
C2007,Mason Anderson,mason.anderson@example.com,occasional,2025-09-16,2025-11-28,5,16512.38,Miami,FL
C2008,David Garcia,david.garcia@example.com,occasional,2025-05-11,2025-06-10,6,20402.76,Boston,MA
C2009,Olivia Lopez,olivia.lopez@example.com,occasional,2025-09-01,2025-12-09,3,8139.53,Portland,OR
C2010,Mason Williams,mason.williams@example.com,occasional,2025-09-08,2025-12-19,7,6618.86,Chicago,IL
C2011,Linda Rodriguez,linda.rodriguez@example.com,occasional,2025-08-10,2026-03-06,3,3580.58,Seattle,WA
C2012,Emma Hernandez,emma.hernandez@example.com,occasional,2025-10-04,2026-03-12,4,15454.94,Chicago,IL
C2013,Emma Hernandez,emma.hernandez@example.com,occasional,2025-08-24,2025-12-01,8,12695.76,Portland,OR
C2014,Linda Smith,linda.smith@example.com,occasional,2025-10-01,2026-01-23,6,5104.79,Phoenix,AZ
C2015,Ethan Wilson,ethan.wilson@example.com,occasional,2025-05-03,2025-08-29,3,6366.37,Miami,FL
C2016,Sarah Thomas,sarah.thomas@example.com,occasional,2025-10-14,2026-04-28,3,3144.22,Austin,TX
C2017,Olivia Garcia,olivia.garcia@example.com,occasional,2025-08-05,2026-04-03,5,13620.97,Boston,MA
C2018,Ava Smith,ava.smith@example.com,occasional,2025-08-27,2025-12-29,3,11387.98,Portland,OR
C2019,Liam Miller,liam.miller@example.com,occasional,2025-05-06,2025-10-26,8,23822.19,Austin,TX
C2020,John Davis,john.davis@example.com,occasional,2025-10-08,2026-01-23,7,23708.48,Phoenix,AZ
C2021,Patricia Smith,patricia.smith@example.com,occasional,2025-05-10,2025-10-30,5,11885.41,Portland,OR
C2022,Isabella Moore,isabella.moore@example.com,occasional,2025-08-10,2025-10-07,8,28669.86,Denver,CO
C2023,Linda Williams,linda.williams@example.com,occasional,2025-06-19,2025-10-16,7,7064.08,Denver,CO
C2024,Jennifer Miller,jennifer.miller@example.com,occasional,2025-09-23,2025-12-20,5,18096.05,Boston,MA
C3000,Sarah Anderson,sarah.anderson@example.com,loyal,2025-10-05,2026-03-27,27,611875.05,Boston,MA
C3001,Isabella Thomas,isabella.thomas@example.com,loyal,2025-08-19,2025-12-31,20,209614.24,Phoenix,AZ
C3002,Jennifer Anderson,jennifer.anderson@example.com,loyal,2025-09-10,2026-04-12,21,199310.25,Miami,FL
C3003,Sarah Davis,sarah.davis@example.com,loyal,2025-07-20,2025-09-30,24,280658.79,Seattle,WA
C3004,Robert Smith,robert.smith@example.com,loyal,2025-07-03,2025-09-22,12,134593.41,Phoenix,AZ
C3005,Jennifer Davis,jennifer.davis@example.com,loyal,2025-05-07,2026-04-22,23,545127.97,Austin,TX
C3006,Isabella Davis,isabella.davis@example.com,loyal,2025-07-01,2025-08-27,25,535816.9,Austin,TX
C3007,Robert Williams,robert.williams@example.com,loyal,2025-10-06,2025-11-29,29,507702.28,Boston,MA
C3008,Linda Johnson,linda.johnson@example.com,loyal,2025-08-05,2026-04-09,11,207540.01,Phoenix,AZ
C3009,James Johnson,james.johnson@example.com,loyal,2025-07-17,2026-03-25,11,69473.86,Chicago,IL
